countryname,countrycode,indicatorname,indicatorcode,attribute,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Kyrgyz Republic,917,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,,,,4.368105412,4.82216835,5.62133503,5.819298267,5.634535789,6.193851471,5.006882191,4.908511639,6.126553535,,,,,8.481700897,8.951210022,8.798238754,7.786804199,7.465419769,7.838458061,9.216882706,9.381026268,9.135835648
Slovak Republic,936,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,,,,,,8.210248947,7.453677654,7.050803185,7.328178883,6.72317791,6.859324932,7.153063297,6.925509453,7.321366787,7.606974602,7.720698357,7.314116001,6.594760418,6.764122009,6.614521027,6.205962181,6.687497616,5.975838184,6.360272408,6.634425163
Cape Verde,624,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,,,,,,,,,,,,,,,,12.03234291,8.756464005,9.090965271,9.55512619,8.062445641,8.496846199,9.552010536,8.012833595,,
"Afghanistan, I.R. of",512,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,,,,,,,,,,,,,,0.137145936,0.497165084,0.439111471,1.61965704,1.390766382,1.326577187,2.032910347,2.327685356,2.279681921,1.92110467,1.624714971,
Mongolia,948,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,,,,1.965272665,1.818765879,1.365019441,1.590642095,2.199456453,2.870864391,4.324058056,4.88060236,6.125773907,6.259750366,5.702276707,,,8.711391449,4.217085838,3.7559793,3.7932899,5.916781425,8.459104538,7.768566132,7.484467506,
Malaysia,548,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,1.939211369,1.906868696,1.905285716,1.875456333,1.968556404,2.037612915,2.008617163,2.037902832,1.263771176,1.38954246,1.559319735,1.942809105,2.246052504,1.771157146,1.338909507,1.373186469,1.059811711,0.966626704,1.053030968,1.168564677,0.994762421,0.940735936,0.977708101,0.988181412,0.988576531
New Zealand,196,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,8.037403107,8.329789162,8.509922981,8.942775726,8.323412895,8.33236599,8.330430031,8.36878109,8.627224922,8.624116898,8.353756905,8.43168354,8.625050545,9.020109177,8.779211998,8.793554306,8.938091278,8.208625793,8.341768265,8.571517944,9.49892807,9.617506027,9.696958542,9.734048843,9.792803764
Lesotho,666,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,7.454171658,6.184061527,5.652406693,5.654751301,5.216972828,5.277024269,5.244165421,5.345901489,5.058941364,4.721760273,5.068053722,4.798338413,4.892637253,6.933884144,8.090984344,7.329681873,7.095944881,7.179904461,7.197219372,,7.748419762,7.430999756,8.292187691,8.732604027,
Georgia,915,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,,,,,,,,4.309936523,3.662556887,3.752942324,4.239336491,4.737393379,4.975142002,4.970754147,6.868685722,8.496728897,9.664310455,11.61425018,10.84674168,11.40723419,10.62074566,11.43732166,11.6187067,10.60774899,11.30128098
Czech Republic,935,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,,,,,,5.80166626,5.934607506,5.865118027,5.67346859,6.148884773,5.952676773,5.849074364,5.800232887,5.863636017,6.694727421,6.602818966,6.094104767,6.062084675,6.484272003,6.594566822,6.663642883,6.874638557,7.079247952,7.451900005,7.498087406
Norway,142,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,7.5555439,7.20806694,7.473191738,7.843591213,8.262533188,8.490287781,8.373915672,8.427930832,8.838265419,9.149072647,8.288756371,8.256629944,8.335699081,8.075633049,7.922306538,7.733763695,7.802512646,8.06107235,7.113790989,7.68651104,7.791318417,7.582057476,7.556364536,7.671759129,7.775235176
Croatia,960,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,,,6.539014339,8.262619019,8.547426224,7.458282471,10.63733292,12.27257633,16.13801575,14.28430653,12.33792496,11.92361164,12.62836742,12.42518806,12.25891209,12.27727795,12.24710178,12.12656212,12.28845692,11.5508585,11.79775524,11.64626312,12.58350182,12.54562855,12.7509203
Belize,339,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,,,,,0.611492395,1.108368874,6.265925884,7.491542339,7.107213497,5.59668541,6.120200157,6.190611362,6.086846352,6.059983253,6.664347649,8.159680367,8.913050652,9.142215729,8.641293526,8.109617233,8.978539467,7.732280731,8.808684349,9.401714325,9.69658947
